"year","promo","promo_h","promo_f","bordeaux","bordeaux_h","bordeaux_f","saint_etienne","saint_etienne_h","saint_etienne_f","palaiseau","palaiseau_h","palaiseau_f","exterieur","exterieur_h","exterieur_f"
2013,99,71,28,0,0,0,6,4,2,81,59,22,12,8,4
2014,113,85,28,9,9,0,14,11,3,69,53,16,21,12,9
2015,115,81,34,19,17,2,18,10,8,58,40,18,20,14,6
2016,120,88,32,23,19,4,10,7,3,74,54,20,13,8,5
2017,136,90,46,31,24,7,15,11,4,76,49,27,14,6,8
2018,153,111,42,34,28,6,19,14,5,78,57,21,22,12,10
2019,157,110,47,41,37,4,19,10,9,75,50,25,22,13,9
2020,124,69,55,22,16,6,14,7,7,62,33,29,25,13,12
2021,147,99,48,31,21,10,13,8,5,75,57,18,28,13,15
2022,110,82,28,12,11,1,12,10,2,81,58,23,5,3,2
